name,core_papers,sources,dblp_current,status,reason_code,reason
Zehao Yu 0002,8,,"University of Tübingen, Department of Computer Science, Tübingen, Germany|ShanghaiTech University, China",queue,,current DBLP affiliation here but on no institution directory
Ruth Urner,8,,"York University, Lassonde School of Engineering, Department of Electrical Engineering and Computer Science, Toronto, Can",exclude,E08,DBLP's primary current affiliation is York University; on none of the local directories
Mijung Park,8,,"Max Planck Institute for Intelligent Systems, Tübingen, Germany|University of Tübingen, , Germany",queue,,current DBLP affiliation here but on no institution directory
Yong Cao 0001,8,,"Eberhard Karl University of Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
T. Konstantin Rusch,8,de-ellis-institute-tue;de-tue-ai-center,,include,,on an institution directory here; no corroborating DBLP affiliation note
Robert C. Williamson,8,de-tue-ai-center;de-university-of-t-bingen;csrankings,"Universitaet Tuebingen, Germany",include,,on an institution directory here
Qianli Ma 0007,8,,"Nvidia|ETH Zürich, Switzerland|Max Planck Institute for Intelligent Systems, Tübingen, Germany",exclude,E08,DBLP's primary current affiliation is Nvidia; on none of the local directories
Peter Dayan,7,de-ellis-inst-tue;de-tue-ai-center;de-university-of-t-bingen,"Max Planck Institute for Biological Cybernetics, Tübingen, Germany",include,,on an institution directory here
Frank Schneider 0001,7,,"University of Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Dingfan Chen,7,de-mpi-is-tue,,include,,on an institution directory here; no corroborating DBLP affiliation note
Andreas Ziegler 0006,7,,"University of Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Nastaran Okati,6,de-mpi-is-tue,,include,,on an institution directory here; no corroborating DBLP affiliation note
Katharina Eggensperger,6,,"TU Dortmund, Germany",exclude,E08,CSRankings files them at TU Dortmund (de)
Jan Schneider 0007,6,,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Yuxuan Xue 0001,6,,"University of Tübingen, Germany|Max Planck Institute for Intelligent Systems, Embodied Vision Group, Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Steffen Schneider 0001,6,,"University of Tübingen, Germany|EPFL, Geneva, Switzerland",queue,,current DBLP affiliation here but on no institution directory
Sebastian Otte,5,,,exclude,E08,CSRankings files them at University of Lübeck (de)
Peter V. Gehler,5,csrankings,"University of Tübingen, Bernstein Center for Computational Neuroscience, Germany|Max Planck Institute for Intelligent Sy",include,,on an institution directory here
Ana-Andreea Stoica,4,de-mpi-is-tue,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",include,,on an institution directory here
Thomas Walter 0003,4,de-university-of-t-bingen,,queue,,"on a local directory, but DBLP's current affiliation is MINES ParisTech / Institut Curie"
Bernhard Jaeger,4,,"University of Tübingen, Geremany",queue,,current DBLP affiliation here but on no institution directory
Maximilian Dax,4,de-ellis-institute-tue;de-mpi-is-tue;de-tue-ai-center,,include,,on an institution directory here; no corroborating DBLP affiliation note
Jonathan Schmidt 0001,4,,"University of Tübingen, Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Martin V. Butz,4,de-university-of-t-bingen;csrankings,"Eberhard Karls University of Tübingen, Wilhelm Schickard Institute for Computer Science, Germany|University of Würzburg,",include,,on an institution directory here
Konstantin Willeke,4,,"International Max Planck Research School for Intelligent Systems, Tübingen, Germany|University of Tübingen, Institute fo",exclude,E02,"affiliation is the IMPRS doctoral school, not a faculty post"
Daniel F. B. Haeufle,4,de-university-of-t-bingen,,include,,on an institution directory here; no corroborating DBLP affiliation note
Nan Lu 0001,4,,"University of Bristol, School of Computer Science, Bristol, UK|University of Tübingen, Germany",exclude,E08,DBLP's primary current affiliation is University of Bristol; on none of the local directories
Ran Liu 0007,3,,"Singapore University of Technology and Design, MIT International Design Center, Singapore",exclude,E02,DBLP records this as the PhD institution (2014)
Guy Moss 0001,3,,"University of Tübingen, Machine Learning in Science, Germany|Tübingen AI Center, Germany",queue,,current DBLP affiliation here but on no institution directory
Michael Tiemann 0001,3,,"University of Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Mohamed Hassan 0003,3,,,exclude,E02,DBLP records this as the PhD institution (2023)
Harrisen Scells,3,de-university-of-t-bingen,"University of Tübingen, Germany",include,,on an institution directory here
Chris Gagne 0001,3,,"Max Planck Institute for Biological Cybernetics, Tübingen, Germany|University of California, Berkeley, CA, USA",queue,,current DBLP affiliation here but on no institution directory
Muhammad Waleed Gondal,3,,"Max-Planck Institute for Intelligent Systems, Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Andreas M. Lehrmann,3,,"Facebook Reality Labs, Pittsburgh, PA, USA|Disney Research, Pittsburgh, PA, USA|Max Planck Institute for Intelligent Sys",exclude,E08,DBLP's primary current affiliation is Facebook Reality Labs; on none of the local directories
Anna Levina,3,de-university-of-t-bingen;csrankings;csrankings,"Eberhard Karls University of Tübingen, Germany|Max Planck Institute for Mathematics in the Sciences, Leipzig, Germany|Be",include,,on an institution directory here
Felix A. Wichmann,3,de-university-of-t-bingen;csrankings,"University of Tübingen, Germany",include,,on an institution directory here
Leena C. Vankadara,3,,"University of Tübingen, Department of Computer Science, Germany|Max Planck Institute for Intelligent Systems (MPI-IS), T",queue,,current DBLP affiliation here but on no institution directory
Aditya Prakash 0001,3,,"University of Illinois Urbana-Champaign, IL, USA",exclude,E08,DBLP labels the affiliation former
Shashank Singh 0011,3,,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Oliver Bringmann 0001,3,de-university-of-t-bingen;csrankings,"University of Tübingen, Department of Computer Science, Germany",include,,on an institution directory here
Ilia A. Petrov 0001,1,,"University of Tübingen, Germany",queue,,current DBLP affiliation here but on no institution directory
Matthias Hein 0002,0,csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
