name,inst_id,city,matched_to,match,matched_papers,best_candidate_papers,candidates,title_verbatim,evidence_url
Young-Ae Lee,de-mdc,Berlin,,ambiguous_first_last(157),0,8,"Young-Suk Lee 0001 (8p; IBM T. J. Watson Research Center, Yorktown Heights, NY, USA|) | Young-Jun Lee (3p; no affiliation) | Young Yoon Lee (2p; no affiliation) | Young Han Lee (2p; no affiliation) | Young M. Lee (2p; no affiliation) | Young-Eun Lee (2p; no affiliation)","Prof. Dr. Young-Ae Lee, Group Leader",https://www.mdc-berlin.de/research/discovery/labs-platforms
Frank Schneider,de-bht,Berlin,,ambiguous_full(2),0,7,"Frank Schneider 0001 (7p; University of Tübingen, Germany) | Frank M. Schneider (0p; University of Mannheim, Germany) | Frank Schneider (0p; no affiliation) | Frank R. Schneider (0p; no affiliation) | Frank E. Schneider (0p; no affiliation)",Prof. Dr.-Ing. Frank Schneider,https://www.bht-berlin.de/people/detail/1101
Jung-Hwa Lee,de-bht,Berlin,,ambiguous_full(2),0,6,Jung Hyun Lee (6p; no affiliation) | Jung-Suk Lee (2p; no affiliation) | Jung Hoon Lee (2p; no affiliation) | Jungwoo Lee (1p; no affiliation) | Jung H. Lee (1p; no affiliation) | Jung-Oh Lee (1p; no affiliation),Prof. Ph.D. Jung-Hwa Lee,https://www.bht-berlin.de/people/detail/1251
Steffen Schneider,de-helmholtz-munich,München,Steffen Schneider 0004,affiliation,1,6,"Steffen Schneider 0001 (6p; University of Tübingen, Germany|EPFL, Geneva, Switzerland) | Steffen Schneider 0004 (1p; Helmholtz Munich, Germany) | Steffen Schneider 0003 (0p; Procure.AI, London, UK) | Steffen Schneider 0002 (0p; University of Paderborn, C.I.K., Germany)","Tenure Track Group Leader, Institute of Computational Biology, Computational Health Center",https://www.helmholtz-munich.de/en/icb/research-groups/research-group/schneider-lab
Michael Schneider,de-htw-berlin,Berlin,Michael Schneider 0013,affiliation,0,6,"Michael Bohlke-Schneider (6p; no affiliation) | Michael Schneider 0005 (0p; University of Trier, Germany) | Michael Karl Artur Schneider (0p; no affiliation) | Michael J. Schneider (0p; no affiliation) | Michael Schneider 0011 (0p; Karlsruhe Institute of Technology, Karlsruhe, Germany) | Michael Schneider 0003 (0p; German Research Center for Artificial Intelligence (DFKI), S)",Prof. Dr.-Ing. Michael Schneider,https://www.htw-berlin.de/hochschule/personen/person/?eid=9163
Steffen Schneider,de-mcml,München,Steffen Schneider 0004,affiliation,1,6,"Steffen Schneider 0001 (6p; University of Tübingen, Germany|EPFL, Geneva, Switzerland) | Steffen Schneider 0004 (1p; Helmholtz Munich, Germany) | Steffen Schneider 0003 (0p; Procure.AI, London, UK) | Steffen Schneider 0002 (0p; University of Paderborn, C.I.K., Germany)","Dr., Collaborating PI",https://mcml.ai/research/groups/schneider/
Huu-Thoi Le,de-bht,Berlin,,ambiguous_first_last(19),0,5,Huu Le (5p; no affiliation) | Huu-Loi Le (1p; no affiliation) | Huu Trong Le (0p; no affiliation) | Huu Dien Khue Le (0p; no affiliation) | Huu Phuc Le (0p; no affiliation) | Huu Thang Le (0p; no affiliation),Prof. Dr.-Ing. Huu-Thoi Le,https://www.bht-berlin.de/people/detail/1306
Volker Roth,de-freie-universitaet-berlin,Berlin,Volker Roth 0002,affiliation,0,5,"Volker Roth 0001 (5p; University of Basel, Switzerland|University of Bonn, Germany) | Volker Roth 0002 (0p; FU Berlin, Germany) | Volker Roth 0003 (0p; Philipps University of Marburg, Germany)",Prof. Dr. Volker Roth,https://www.mi.fu-berlin.de/inf/groups/ag-si/index.html
Johannes Müller,de-tu-munich,München,,ambiguous_full(8),0,5,"Johannes Müller (5p; no affiliation) | Johannes Müller 0003 (2p; Ulm University, Germany) | Johannes Müller 0001 (0p; University of Luxembourg, Interdisciplinary Centre for Secur) | Johannes Muller (0p; no affiliation) | Johannes Müller 0002 (0p; University of Applied Sciences Bonn-Rhein-Sieg, Germany) | Johannes Müller 0005 (0p; University of Auckland, Department of Computer Science, New )",Prof. Dr.,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=9CB1354F33A33774&pPersonenGruppe=3
Seyed Jalal Etesami,de-tu-munich,München,,ambiguous_first_last(2),0,5,S. Rasoul Etesami 0001 (5p; no affiliation) | Seyed Omid Etesami (0p; no affiliation),Prof. Dr.,https://campus.tum.de/tumonline/visitenkarte.show_vcard?pPersonenId=11582B8747F1A812&pPersonenGruppe=3
