person,counted_city,match,openalex_id,recent_affiliations,verdict,papers,sources
Lea Schönherr,Saarbrücken,orcid,A5049219646,"Helmholtz Center for Information Security (DE, 2026)",confirms,7,de-cispa-helmholtz-center;csrankings
Philipp Slusallek,Saarbrücken,name,A5026514026,"German Research Centre for Artificial Intelligence (DE, 2026) | Max Planck Institute for Informatics (DE, 2024) | Saarland University (DE, 2026)",confirms,6,de-saarland-university;de-dfki-sb;csrankings
Viktor Zaverkin,Saarbrücken,name,A5047160329,"University of Stuttgart (DE, 2024) | NEC (Japan) (JP, 2025) | Sharp Laboratories of Europe (United Kingdom) (GB, 2025) | NEC (Germany) (DE, 2026)",elsewhere,6,de-saarland-university
Peter Ochs,Saarbrücken,ambiguous(3),,,no_data,6,de-saarland-university;csrankings
Bernd Finkbeiner,Saarbrücken,orcid,A5048189898,"Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR) (DE, 2024) | Helmholtz Center for Information Security (DE, 2026)",confirms,6,de-cispa-helmholtz-center;csrankings
Gerhard Weikum,Saarbrücken,name,A5088135366,"Max Planck Society (DE, 2024) | Max Planck Institute for Informatics (DE, 2026) | National Institute for Research and Development in Informatics - ICI Bucharest (RO, 2025) | Center for Scalable Data Analytics and Artificial Intelligence (DE, 2025)",confirms,5,de-mpi-inf
Antonio Krüger,Saarbrücken,orcid,A5068531236,"German Research Centre for Artificial Intelligence (DE, 2026) | Saarland University (DE, 2025)",confirms,4,de-saarland-university;csrankings
Wolfgang Maass 0002,Saarbrücken,no_match,,,no_data,4,csrankings;csrankings
Mathias Niepert,Stuttgart,orcid,A5031719069,"University of Stuttgart (DE, 2026) | NEC (Japan) (JP, 2025) | Machine Intelligence Research Institute (US, 2025) | Max Planck Institute for Intelligent Systems (DE, 2025) | NEC (Germany) (DE, 2026) | Artificial Intelligence in Medicine (Canada) (CA, 2026)",confirms,40,de-university-of-stuttgart;csrankings
Jens Kober,Stuttgart,orcid,A5035229829,"University of Stuttgart (DE, 2026) | Delft University of Technology (NL, 2026)",confirms,24,de-university-of-stuttgart;csrankings
Steffen Staab,Stuttgart,orcid,A5062807811,"University of Stuttgart (DE, 2026) | Stuttgart Technical University of Applied Sciences (DE, 2024) | Simulation Technologies (United States) (US, 2024) | University of Southampton (GB, 2026)",confirms,19,de-university-of-stuttgart;csrankings
Ngoc Thang Vu,Stuttgart,ambiguous(3),,,no_data,19,de-university-of-stuttgart;csrankings
Alina Roitberg,Stuttgart,orcid,A5076927137,"University of Stuttgart (DE, 2025) | Karlsruhe Institute of Technology (DE, 2024) | University of Hildesheim (DE, 2026) | X-Fab (Germany) (DE, 2025)",moved_since,16,de-university-of-stuttgart;csrankings
Sebastian Padó,Stuttgart,orcid,A5003870894,"University of Stuttgart (DE, 2026) | Institut für Informationsverarbeitung (DE, 2026) | Institut für Mikroelektronik Stuttgart (DE, 2024)",confirms,12,de-university-of-stuttgart;csrankings
Sabine Schulte im Walde,Stuttgart,orcid,A5036567696,"University of Stuttgart (DE, 2025)",confirms,12,de-university-of-stuttgart;csrankings
Bin Yang 0009,Stuttgart,orcid,A5072309548,"University of Stuttgart (DE, 2025) | Kunming University of Science and Technology (CN, 2024) | University of Science and Technology Liaoning (CN, 2024) | Planetary Science Institute (US, 2025) | Anhui University (CN, 2025) | Tianjin University (CN, 2026) | Hefei University of Technology (CN, 2025) | Tianjin Chengjian University (CN, 2025) | City University of Hong Kong (HK, 2025) | Southwestern University of Finance and Economics (CN, 2024) | Dalian University of Technology (CN, 2024) | Nanjing Institute of Technology (CN, 2024) | Guilin University of Technology (CN, 2026) | Chuzhou University (CN, 2025) | Jiangxi University of Science and Technology (CN, 2025) | East China Normal University (CN, 2026) | Taizhou University (CN, 2024) | Xi'an Jiaotong University (CN, 2025) | Aalborg University (DK, 2025) | Universidad Diego Portales (CL, 2025)",moved_since,11,csrankings
Andreas Bulling,Stuttgart,orcid,A5073661463,"University of Stuttgart (DE, 2026) | TH Bingen University of Applied Sciences (DE, 2024) | Max Planck Institute for Informatics (DE, 2024)",confirms,10,de-university-of-stuttgart;csrankings
Tian Qiu,Stuttgart,ambiguous(3),,,no_data,10,adjudication
C. David Remy,Stuttgart,ambiguous(2),,,no_data,9,adjudication
Ingo Steinwart,Stuttgart,orcid,A5001083977,"University of Stuttgart (DE, 2025) | Los Alamos National Laboratory (US, 2024)",confirms,8,de-university-of-stuttgart;csrankings
Andrés Bruhn,Stuttgart,orcid,A5018641843,"University of Stuttgart (DE, 2026) | Vetenskap I Skolan (SE, 2024)",confirms,7,de-university-of-stuttgart;csrankings
Katherine J. Kuchenbecker,Stuttgart,ambiguous(5),,,no_data,7,de-mpi-is-stu
Jonas Kuhn,Stuttgart,ambiguous(4),,,no_data,5,de-university-of-stuttgart;csrankings
Andrey Morozov 0001,Stuttgart,no_match,,,no_data,5,de-university-of-stuttgart
Aamir Ahmad,Stuttgart,ambiguous(2),,,no_data,5,de-university-of-stuttgart
Syn Schmitt,Stuttgart,name,A5052810943,"University of Stuttgart (DE, 2026) | TH Bingen University of Applied Sciences (DE, 2024) | Queensland University of Technology (AU, 2025) | Stuttgart Technical University of Applied Sciences (DE, 2026) | Simulation Technologies (United States) (US, 2024) | Bernstein Center for Computational Neuroscience Tübingen (DE, 2026) | National Intelligence University (US, 2025)",confirms,3,adjudication
Daniel Cremers,München,orcid,A5087710605,"Munich School of Philosophy (DE, 2024) | University of Oxford (GB, 2024) | Machine Science (US, 2025) | Isotopen Technologien München (Germany) (DE, 2024) | Munich Center for Machine Learning (None, 2026) | Technical University of Munich (DE, 2026) | MTU Aero Engines (Germany) (DE, 2025)",confirms,104,de-tu-munich;de-mcml;csrankings
Stephan Günnemann,München,ambiguous(3),,,no_data,94,de-tu-munich;de-mcml;csrankings
Matthias Nießner,München,orcid,A5088583491,"Technical University of Munich (DE, 2026)",confirms,92,de-tu-munich;de-mcml;csrankings
Nassir Navab,München,orcid,A5046896448,"Johns Hopkins University (US, 2025) | Munich University of Applied Sciences (DE, 2024) | Johns Hopkins Medicine (US, 2024) | X-Fab (Germany) (DE, 2026) | TUM Klinikum (DE, 2025) | Munich School of Philosophy (DE, 2025) | Tumaini University (TZ, 2024) | Frauenklinik der Technischen Universität München (DE, 2024) | Munich Center for Quantum Science and Technology (DE, 2025) | Munich Center for Machine Learning (None, 2026) | Concordia University (CA, 2025) | University of Baltimore (US, 2024) | Technical University of Munich (DE, 2026) | Exide Technologies (Germany) (DE, 2025)",confirms,91,de-tu-munich;de-mcml;csrankings
Zeynep Akata,München,orcid,A5040372929,"TH Bingen University of Applied Sciences (DE, 2024) | Center for Integrated Protein Science Munich (DE, 2025) | Munich School of Philosophy (DE, 2024) | Helmholtz Munich (DE, 2025) | Institute of Bioinformatics and Systems Biology (DE, 2024) | Max Planck Institute for Intelligent Systems (DE, 2024) | Munich Center for Machine Learning (None, 2025) | Technical University of Munich (DE, 2025) | University of Tübingen (DE, 2024)",confirms,75,de-mcml;csrankings
Hinrich Schütze,München,ambiguous(5),,,no_data,73,de-mcml;csrankings
Björn W. Schuller,München,orcid,A5043060302,"Ningbo University (CN, 2024) | Munich University of Applied Sciences (DE, 2025) | University of Augsburg (DE, 2026) | X-Fab (Germany) (DE, 2025) | Imperial Valley College (US, 2025) | TUM Klinikum (DE, 2025) | Dyson (United Kingdom) (GB, 2024) | NIHR Imperial Biomedical Research Centre (GB, 2025) | Machine Science (US, 2025) | Xuzhou Construction Machinery Group (China) (CN, 2025) | The Alan Turing Institute (GB, 2024) | Max Planck Computing and Data Facility (DE, 2024) | Munich Center for Quantum Science and Technology (DE, 2026) | Embedded Systems (United States) (US, 2024) | Data:Lab Munich (Germany) (DE, 2026) | Munich Center for Machine Learning (None, 2025) | Imperial College London (GB, 2026) | Tumkur University (IN, 2025) | Technical University of Munich (DE, 2026) | The University of Tokyo (JP, 2024) | Medical University of Vienna (AT, 2024) | University of Hong Kong (HK, 2024)",confirms,62,de-tu-munich;de-mcml
Stefanie Jegelka,München,ambiguous(5),,,no_data,58,de-tu-munich;de-mcml;csrankings;csrankings
Eyke Hüllermeier,München,ambiguous(5),,,no_data,56,de-lmu-munich;de-mcml;csrankings
Barbara Plank,München,orcid,A5088832285,"University of Copenhagen (DK, 2024) | Center for Integrated Protein Science Munich (DE, 2026) | LMU Klinikum (DE, 2026) | Munich Center for Machine Learning (None, 2026) | Ludwig-Maximilians-Universität München (DE, 2026) | IT University of Copenhagen (DK, 2024)",confirms,52,de-mcml;csrankings
Laura Leal-Taixé,München,orcid,A5090283032,"Nvidia (United Kingdom) (GB, 2026) | Nvidia (United States) (US, 2026) | Dynamic Systems (United States) (US, 2025) | Technical University of Munich (DE, 2026)",confirms,51,csrankings
Angela Dai,München,orcid,A5026634347,"World Health Organization - Pakistan (PK, 2026) | Technical University of Munich (DE, 2026) | Massachusetts Institute of Technology (US, 2024) | Analysis Group (United States) (US, 2024)",confirms,50,de-tu-munich;de-mcml;csrankings
Volker Tresp,München,orcid,A5074808403,"Siemens (Germany) (DE, 2026) | LMU Klinikum (DE, 2025) | Munich Center for Quantum Science and Technology (DE, 2026) | Munich Center for Machine Learning (None, 2025) | Ludwig-Maximilians-Universität München (DE, 2026)",confirms,42,de-lmu-munich;de-mcml;csrankings
Benjamin Busam,München,ambiguous(2),,,no_data,42,de-mcml
Björn Ommer,München,ambiguous(4),,,no_data,40,de-lmu-munich;de-mcml;csrankings
Stefan Bauer,München,ambiguous(3),,,no_data,32,de-tu-munich;de-mcml;csrankings
Stefan Leutenegger,München,orcid,A5006726091,"ETH Zurich (CH, 2026) | Robotics Research (United States) (US, 2025) | Imperial College London (GB, 2024) | Technical University of Munich (DE, 2026)",confirms,30,csrankings
Matthias Althoff,München,orcid,A5005383495,"Centre for Artificial Intelligence and Robotics (IN, 2026) | Munich Center for Machine Learning (None, 2026) | Technical University of Munich (DE, 2026)",confirms,29,de-tu-munich;de-mcml;csrankings
Stefan Feuerriegel,München,orcid,A5081442873,"BMW (Germany) (DE, 2025) | Center for NanoScience (DE, 2026) | Munich School of Philosophy (DE, 2025) | LMU Klinikum (DE, 2026) | ETH Zurich (CH, 2024) | Machine Science (US, 2025) | Munich Center for Quantum Science and Technology (DE, 2026) | Munich Center for Machine Learning (None, 2026) | Ludwig-Maximilians-Universität München (DE, 2026)",confirms,29,de-lmu-munich;de-mcml;csrankings
Suvrit Sra,München,name,A5058767558,"Technical University of Munich (DE, 2025)",confirms,28,de-tu-munich;de-mcml
David Rügamer,München,ambiguous(3),,,no_data,26,de-lmu-munich;de-mcml
Angela P. Schoellig,München,orcid,A5052147335,"University of Toronto (CA, 2026) | Machine Intelligence Research Institute (US, 2025) | Institute for Christian Studies (CA, 2026) | ETH Zurich (CH, 2026) | Robotics Research (United States) (US, 2026) | Vector Institute (CA, 2026) | Dynamic Systems Analysis (Canada) (CA, 2025) | Artificial Intelligence in Medicine (Canada) (CA, 2026) | Technical University of Munich (DE, 2026)",confirms,23,de-tu-munich;de-mcml;csrankings
Bernd Bischl,München,orcid,A5069072700,"Munich School of Philosophy (DE, 2026) | LMU Klinikum (DE, 2026) | Machine Science (US, 2026) | Fraunhofer Institute for Integrated Circuits (DE, 2024) | Munich Center for Machine Learning (None, 2026) | Ludwig-Maximilians-Universität München (DE, 2026)",confirms,23,de-lmu-munich;de-mcml;csrankings
Daniel Rueckert,München,orcid,A5006461848,"Centre National de la Recherche Scientifique (FR, 2025) | German Cancer Research Center (DE, 2025) | Université Paris Cité (FR, 2024) | Cornell University (US, 2024) | University of Cambridge (GB, 2024) | Kensington College of Business (GB, 2024) | Wolfson Foundation (GB, 2025) | TUM Klinikum (DE, 2025) | University Medical Center Utrecht (NL, 2026) | Institute for Sports Medicine (DE, 2024) | NIHR Imperial Biomedical Research Centre (GB, 2025) | Pinnacle Clinical Research (US, 2024) | Institute of Group Analysis (GB, 2025) | Artificial Intelligence in Medicine (Canada) (CA, 2025) | Munich Center for Machine Learning (None, 2026) | Imperial College London (GB, 2026) | University of Regensburg (DE, 2024) | Technical University of Munich (DE, 2026) | Université Jean Monnet (FR, 2025) | Fresenius Medical Care (Germany) (DE, 2024) | University of Lausanne (CH, 2024)",confirms,22,de-tu-munich;de-mcml
Mikhail Belkin,München,ambiguous(2),,,no_data,22,de-tu-munich
Alois C. Knoll,München,orcid,A5063781430,"Munich University of Applied Sciences (DE, 2025) | University of Health Sciences and Pharmacy (US, 2025) | Washington University in St. Louis (US, 2025) | X-Fab (Germany) (DE, 2025) | Universität der Bundeswehr München (DE, 2024) | Technische Hochschule Ingolstadt (DE, 2024) | Universität Bayern (DE, 2025) | Moscow Technical University of Communication and Informatics (RU, 2024) | Robotics Research (United States) (US, 2025) | Centre for Artificial Intelligence and Robotics (IN, 2025) | Inform (Germany) (DE, 2024) | Embedded Systems (United States) (US, 2025) | Center for Clinical Research (United States) (US, 2025) | Institute of Informatics of the Slovak Academy of Sciences (SK, 2024) | Technical University of Munich (DE, 2026) | Bayer (Germany) (DE, 2025)",confirms,21,de-tu-munich;csrankings;csrankings
Gjergji Kasneci,München,ambiguous(5),,,no_data,21,de-tu-munich;de-mcml
Alexander Fraser 0001,München,orcid,A5101957153,"Technical University of Munich (DE, 2025)",confirms,20,de-mcml;csrankings
Reinhard Heckel,München,orcid,A5003606899,"Munich Center for Machine Learning (None, 2024) | Technical University of Munich (DE, 2026)",confirms,19,de-tu-munich;de-mcml;csrankings
Gitta Kutyniok,München,orcid,A5090767423,"Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR) (DE, 2026) | Munich School of Philosophy (DE, 2026) | LMU Klinikum (DE, 2025) | Munich Center for Quantum Science and Technology (DE, 2025) | Munich Center for Machine Learning (None, 2026) | Frankfurt University of Applied Sciences (DE, 2025) | UiT The Arctic University of Norway (NO, 2026) | Ludwig-Maximilians-Universität München (DE, 2026)",confirms,19,de-mcml;csrankings
Niki Kilbertus,München,name,A5000443214,"Max Planck Society (DE, 2025) | Helmholtz Munich (DE, 2026) | Max Planck Institute for Intelligent Systems (DE, 2025) | Munich Center for Machine Learning (None, 2025) | Technical University of Munich (DE, 2025)",confirms,18,de-tu-munich;de-mcml
Debarghya Ghoshdastidar,München,orcid,A5052425916,"Tumaini University (TZ, 2026) | Tumkur University (IN, 2026) | Technical University of Munich (DE, 2026)",confirms,17,de-tu-munich;de-mcml;csrankings
Eckehard G. Steinbach,München,orcid,A5077346002,"BMW (Germany) (DE, 2025) | Munich University of Applied Sciences (DE, 2026) | Faculty of Media (SI, 2026) | Oliver Crispin Robotics (United Kingdom) (GB, 2026) | Robotics Research (United States) (US, 2026) | Centre for Tactile Internet with Human-in-the-Loop (DE, 2026) | Technical University of Munich (DE, 2026) | Technische Universität Dresden (DE, 2026)",confirms,17,de-tu-munich;csrankings
Fabian J. Theis,München,orcid,A5083128670,"Broad Institute (US, 2024) | Harvard University (US, 2024) | Universität Hamburg (DE, 2024) | University of California, Los Angeles (US, 2024) | University of Würzburg (DE, 2024) | Harvard University Press (US, 2024) | Wellcome Sanger Institute (GB, 2026) | Center for Environmental Health (US, 2025) | Munich School of Philosophy (DE, 2026) | Helmholtz Munich (DE, 2026) | Weihenstephan-Triesdorf University of Applied Sciences (DE, 2025) | ETH Zurich (CH, 2024) | Institute of Computing Technology (CN, 2025) | Institute of Bioinformatics and Systems Biology (DE, 2026) | University Medical Center Hamburg-Eppendorf (DE, 2024) | Helmholtz Institute Mainz (DE, 2026) | German Center for Infection Research (DE, 2025) | Centre National des Sciences et Technologies Nucléaires (TN, 2026) | German Centre for Cardiovascular Research (DE, 2025) | German Center for Lung Research (DE, 2025) | Berlin Institute of Health at Charité - Universitätsmedizin Berlin (DE, 2025) | Computing Center (RU, 2025) | Leibniz-Institute for Food Systems Biology at the Technical University of Munich (DE, 2025) | Isotopen Technologien München (Germany) (DE, 2025) | Institute of Computational Biology (DE, 2025) | University College London (GB, 2025) | Technical University of Munich (DE, 2026) | Charité - Universitätsmedizin Berlin (DE, 2025) | University of Lübeck (DE, 2024)",confirms,17,de-tu-munich;de-mcml;csrankings
Valentin Hofmann,München,name,A5014923355,"University of Washington (US, 2026) | LMU Klinikum (DE, 2024) | University of Oxford (GB, 2024) | Allen Institute (US, 2026) | Ludwig-Maximilians-Universität München (DE, 2024)",moved_since,17,de-mcml
Sandra Hirche,München,ambiguous(5),,,no_data,16,de-tu-munich;csrankings
Xiao Xiang Zhu 0001,München,no_match,,,no_data,16,de-mcml
Achim J. Lilienthal,München,orcid,A5088586617,"Örebro University (SE, 2026) | X-Fab (Germany) (DE, 2025) | Machine Intelligence Research Institute (US, 2025) | Robotics Research (United States) (US, 2025) | Institute of Navigation (US, 2025) | Technical University of Munich (DE, 2026)",confirms,15,de-tu-munich;de-mcml;csrankings
Alin Albu-Schäffer,München,orcid,A5080814983,"University of Freiburg (DE, 2024) | Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR) (DE, 2026) | Robotics Research (United States) (US, 2024) | Technical University of Munich (DE, 2026)",confirms,15,de-tu-munich;csrankings;csrankings
Enkelejda Kasneci,München,orcid,A5008809634,"Munich School of Philosophy (DE, 2024) | Munich Center for Machine Learning (None, 2026) | Technical University of Munich (DE, 2026)",confirms,13,de-tu-munich;de-mcml;csrankings;csrankings
Bjoern Menze,München,orcid,A5002068604,"German Cancer Research Center (DE, 2025) | University of Zurich (CH, 2026) | Heidelberg University (DE, 2025) | University Hospital Heidelberg (DE, 2025) | Yale University (US, 2024) | ETH Zurich (CH, 2026) | Quantitative BioSciences (US, 2026) | Translational Research in Oncology (FR, 2025) | Athinoula A. Martinos Center for Biomedical Imaging (US, 2024) | Technical University of Munich (DE, 2025)",moved_since,13,csrankings;csrankings;csrankings
Patrick van der Smagt,München,orcid,A5022626150,"Eötvös Loránd University (HU, 2025) | Volkswagen Group (Germany) (DE, 2024) | One Earth Future Foundation (US, 2025) | Robotics Research (United States) (US, 2025) | Future Carbon (Germany) (DE, 2026) | Volkswagen Group (United States) (US, 2026)",elsewhere,13,csrankings;csrankings
Riccardo Marin,München,ambiguous(4),,,no_data,12,de-tu-munich;de-mcml
Karsten M. Borgwardt,München,name,A5104436122,,no_data,12,de-mcml
Berthold Bäuml,München,name,A5058972548,"Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR) (DE, 2025) | Robotics Research (United States) (US, 2025) | Technical University of Munich (DE, 2024)",moved_since,10,de-tu-munich
