inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status,geocode_precision,geocode_query,geocode_display,shift_from_city_km
de-tu-munich,csrankings,TU Munich,de,,https://www.cs.cit.tum.de/en/cs/home/,109,Technische Universität München,02kkvpp62,Technical University of Munich,Munich,48.1481003,11.5660883,1.00,1.00,1,,,Bare 'TU Munich' matched EU Business School's Munich campus,auto,street,"TU Munich, Munich","Technische Universität, Gabelsbergerstraße, Kunstareal, St. Benno-Viertel, Maxvorstadt, Mü",1.38
gb-university-of-glasgow,csrankings,University of Glasgow,gb,,https://www.gla.ac.uk/schools/computing/,107,University of Glasgow,00vtgdb53,University of Glasgow,Glasgow,55.8716587,-4.2883961,1.00,1.00,0,,,,auto,street,"University of Glasgow, Glasgow","University of Glasgow, Cloisters, Hillhead, Kelvinhaugh, Glasgow, Glasgow City, Alba / Sco",2.05
gb-university-of-oxford,csrankings,University of Oxford,gb,,https://www.cs.ox.ac.uk/,102,University of Oxford,052gg0110,University of Oxford,Oxford,51.75222,-1.25596,1.00,1.00,1,,,,auto,city_centroid,,,0.00
gb-university-of-southampton,csrankings,University of Southampton,gb,,https://www.ecs.soton.ac.uk/,100,University of Southampton,01ryk1543,University of Southampton,Southampton,50.90395,-1.40428,1.00,1.00,0,,,,auto,city_centroid,,,0.00
it-politecnico-di-milano,csrankings,Politecnico di Milano,it,,https://www.deib.polimi.it/eng/home-page,99,Politecnico di Milano,01nffqt88,Politecnico di Milano,Milan,45.4800101,9.2282387,1.00,1.00,1,,,,auto,street,"Politecnico di Milano, Milan","Politecnico di Milano, Sede Milano Città Studi, Via Dino Compagni, Vallazze, Città Studi, ",3.49
dk-it-university-of-copenhagen,csrankings,IT University of Copenhagen,dk,,https://en.itu.dk/,98,IT University of Copenhagen,02309jg23,IT University of Copenhagen,Copenhagen,55.6596553,12.5910769,1.00,1.00,1,,,,auto,street,"IT University of Copenhagen, Copenhagen","IT-Universitetet, Emil Holms Kanal, Islands Brygge, Ballonparken, København, Københavns Ko",2.42
ch-epfl,csrankings,EPFL,ch,,https://www.epfl.ch/schools/ic/,97,École Polytechnique Fédérale de Lausanne,02s376052,École Polytechnique Fédérale de Lausanne,Lausanne,46.518238,6.5682154,1.00,1.00,0,,,,auto,street,"EPFL, Route Cantonale, Écublens","Accueil-information EPFL, Route Cantonale, Quartier Sorge, Ecublens, District de l'Ouest l",4.95
gb-university-of-cambridge,csrankings,University of Cambridge,gb,,https://www.cst.cam.ac.uk/,96,University of Cambridge,013meh722,University of Cambridge,Cambridge,52.1955028,0.1302392,1.00,1.00,1,,,,auto,building,"University of Cambridge, Cambridge","University of Cambridge, 82-88, Hills Road, Petersfield, Cambridge, Cambridgeshire, Cambri",1.05
gb-imperial-college-london,csrankings,Imperial College London,gb,,https://www.imperial.ac.uk/computing/,95,Imperial College London,041kmwe10,Imperial College London,London,51.4989595,-0.1756407,1.00,1.00,1,,,,auto,street,"Imperial College London, London","Imperial College London, Exhibition Road, Brompton, City of Westminster, Greater London, E",3.61
it-sapienza-university-of-rome,csrankings,Sapienza University of Rome,it,,https://www.diag.uniroma1.it/en,95,Sapienza University of Rome,02be6w209,Sapienza University of Rome,Rome,41.89193,12.51133,1.00,1.00,1,,,,auto,city_centroid,,,0.00
