name,core_papers,sources,dblp_current,status,reason_code,reason
Rebekka Burkholz,21,de-cispa-helmholtz-center;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Michael Katz 0001,20,,"IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",exclude,E08,DBLP labels the affiliation former
Christian Ott 0001,20,,"TU Wien, Austria|German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Wessling, Germany|University of ",exclude,E02,DBLP records this as the PhD institution (2005)
Ashutosh Modi,20,,Indian Institute of Technology Kanpur (IIT Kanpur),exclude,E02,DBLP records this as the PhD institution (2017)
Josef van Genabith,18,de-saarland-university;csrankings,"German Research Center for Artificial Intelligence (DFKI), Germany|Saarland University, Germany",include,,on an institution directory here
Lei Song 0001,18,,"Microsoft Research Asia, China|Saarland University, Department of Computer Science, Saarbrücken, Germany|Max Planck Inst",exclude,E08,DBLP's primary current affiliation is Microsoft Research Asia; on none of the local directories
Jian Ding 0001,18,,"King Abdullah University of Science and Technology (KAUST), Thuwal, Saudi Arabia",exclude,E08,DBLP labels the affiliation former
Alexander Koller,18,de-mpi-inf;de-saarland-university;csrankings,"Saarland University, Saarbrücken, Germany",include,,on an institution directory here
Shanshan Zhang 0001,17,,"Nanjing University of Science and Technology, School of Computer Science and Engineering, China|Max Planck Institute for",exclude,E08,DBLP's primary current affiliation is Nanjing University of Science and Technology; on none of the local directories
Kwang In Kim,17,,"Lancaster University, School of Computing & Communications|Max Planck Institute for Informatics|Saarland University, Dep",exclude,E08,DBLP's primary current affiliation is Lancaster University; on none of the local directories
Sara Magliacane,16,de-saarland-university,,include,,on an institution directory here; no corroborating DBLP affiliation note
Janis Keuper,16,,"Saarland University, Saarbrücken, Germany",queue,,current DBLP affiliation here but on no institution directory
Michael Hahn 0001,15,de-saarland-university;csrankings,"Saarland University, Department of Language Science and Technology, Saarbrücken, Germany|Stanford University, Linguistic",include,,on an institution directory here
Markus Gross 0001,15,,"ETH Zurich, Computer Graphics Laboratory, Switzerland|Walt Disney Studios, Chief Scientist, Burbank, CA, USA|Saarland Un",exclude,E08,CSRankings files them at ETH Zurich (ch)
Bernd Möbius,14,,"Saarland University, Saarbrücken, Germany",queue,,current DBLP affiliation here but on no institution directory
Jörg Hoffmann 0001,14,de-saarland-university;csrankings,"Saarland University, Department of Computer Science, Saarbrücken, Germany|INRIA, Nancy, France|SAP Research Karlsruhe, G",include,,on an institution directory here
Yaoyao Liu 0001,13,,"University of Illinois Urbana-Champaign, IL, USA",exclude,E08,DBLP labels the affiliation former
