name,core_papers,sources,dblp_current,status,reason_code,reason
Anaëlle Wilczynski,3,,"Paris-Saclay University, MICS lab, France|Technical University of Munich, Department of Informatics, Germany|Paris Dauph",exclude,E08,DBLP's primary current affiliation is Paris-Saclay University; on none of the local directories
Lei Zhang 0198,3,,"University of Hamburg, Department of Informatics, Germany|Agile Robots AG, Munich, Germany",exclude,E08,DBLP's primary current affiliation is University of Hamburg; on none of the local directories
Uwe Stilla,3,,"Technical University Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Martin Lange 0001,3,,"University of Kassel, School of Electrical Engineering and Computer Science, Germany|LMU Munich, Institute of Informatic",exclude,E08,CSRankings files them at University of Kassel (de)
Hang Li 0010,3,,"Ludwig Maximilian University of Munich, Munich, Germany|Siemens AG, Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Martin Bichler,3,de-tu-munich;csrankings,"Technical University Munich, Germany",include,,on an institution directory here
Bjoern Menze,2,csrankings;csrankings;csrankings,"TU Munich, Faculty of Computer Science, Germany|ETH Zurich, Computer Vision Laboratory, Switzerland|Massachusetts Instit",include,,on an institution directory here
Julio Rogelio Guadarrama-Olvera,1,,"Technical University of Munich, Institute for Cognitive Systems (ICS), Germany",queue,,current DBLP affiliation here but on no institution directory
Nils Thürey,1,csrankings;csrankings,"TU Munich, Faculty of Computer Science|Scanline VFX, Munich|ETH Zurich, Computer Graphics Laboratory",include,,on an institution directory here
Jörg Stückler,1,,"RWTH Aachen University, Visual Computing Institute, Germany|TU Munich, Department of Computer Science, Germany|Universit",exclude,E08,DBLP's primary current affiliation is RWTH Aachen University; on none of the local directories
