country,affiliation,csrankings_faculty,dept_homepage
hu,University of Szeged,15,https://www.inf.u-szeged.hu
it,GSSI,15,https://cs.gssi.it
de,TU Clausthal,14,https://www.isse.tu-clausthal.de
de,University of Kassel,14,https://www.uni-kassel.de/eecs/en
de,University of Potsdam,14,https://www.uni-potsdam.de/en/cs
ie,Maynooth University,14,https://www.maynoothuniversity.ie/computer-science
se,Lund University,14,https://cs.lth.se
se,Malmö University,14,https://mau.se
de,THWS,13,https://fiw.thws.de
de,University of Düsseldorf,13,https://www.cs.hhu.de
de,Brandenburg Univ. of Technology,12,https://www.b-tu.de/en/institut-fuer-informatik
mt,University of Malta,12,https://www.um.edu.mt/ict/cs/
de,Bauhaus University Weimar,11,https://www.uni-weimar.de/en/media/structure/computer-science-department
de,University of Marburg,11,https://www.uni-marburg.de/en/fb12
de,University of Osnabrück,11,https://www.informatik.uni-osnabrueck.de
ch,University of Fribourg,10,https://www.unifr.ch
de,University of Mannheim,10,https://www.wim.uni-mannheim.de/en/
de,University of Trier,10,https://www.uni-trier.de
lv,University of Latvia,10,https://www.lu.lv/en/about-us/structure/institutes/ul-institute-of-mathematics-and-computer-science/
sk,Kempelen Institute - KInIT,9,https://kinit.sk
ch,University of Basel,8,https://dmi.unibas.ch
de,University of Halle-Wittenberg,8,https://www.informatik.uni-halle.de
de,University of Mainz,8,https://www.cs.uni-mainz.de
es,Universidad de Zaragoza,8,https://webdiis.unizar.es
it,University of Molise,8,https://docenti.unimol.it
de,Jacobs University Bremen,7,https://constructor.university/research/school-of-computer-science-and-engineering
it,Scuola Superiore Sant'Anna,7,https://retis.sssup.it
it,University of L'Aquila,7,https://www.disim.univaq.it/
ro,Babeș-Bolyai University,7,https://www.cs.ubbcluj.ro
bg,INSAIT,6,https://insait.ai
ch,University of Bern,6,https://www.iam.unibe.ch
de,TU Freiberg,6,https://tu-freiberg.de
ee,Tallinn University of Technology,6,https://taltech.ee/en/school-of-information-technologies
de,University of Cologne,5,https://cs.uni-koeln.de
fr,Ecole Normale Superieure de Rennes,5,http://www.ens-rennes.fr/research-in-computer-sciences-and-telecommunications-157088.kjsp
de,University of Hildesheim,3,https://www.uni-hildesheim.de/en/fb4/institute/ifi/
no,Simula UiB,2,https://www.simula.no/research/projects/simula-uib
gr,University of Patras,1,https://www.ceid.upatras.gr/en/home/
it,University of Udine,1,https://dmif.uniud.it/en/
