inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status
de-hamburg-university-of-technology,csrankings,Hamburg University of Technology,de,,https://www.tuhh.de/tuhh/en/schools/electrical-engineering-computer-science-and-mathematics,19,Hamburg University of Technology,04bs1pb34,Hamburg University of Technology,Hamburg,53.55073,9.99302,1.00,1.00,1,,,,auto
de-tu-braunschweig,csrankings,TU Braunschweig,de,,https://www.ibr.cs.tu-bs.de,19,TU Braunschweig,010nsgg66,Technische Universität Braunschweig,Braunschweig,52.26594,10.52673,1.00,1.00,0,,,,auto
de-university-of-bremen,csrankings,University of Bremen,de,,https://www.informatik.uni-bremen.de,19,University of Bremen,04ers2y35,University of Bremen,Bremen,53.07582,8.80717,1.00,1.00,0,,,,auto
de-university-of-rostock,csrankings,University of Rostock,de,,https://vcg.informatik.uni-rostock.de,19,University of Rostock,03zdwsf69,University of Rostock,Rostock,54.0887,12.14049,1.00,1.00,0,,,,auto
de-university-of-wuppertal,csrankings,University of Wuppertal,de,,https://www-num.math.uni-wuppertal.de,19,University of Wuppertal,00613ak93,University of Wuppertal,Wuppertal,51.25627,7.14816,1.00,1.00,1,,,,auto
it-university-of-padova,csrankings,University of Padova,it,,https://www.math.unipd.it,19,University of Padova,00240q980,University of Padua,Padua,45.40797,11.88586,1.00,1.00,1,,,,auto
at-university-of-innsbruck,csrankings,University of Innsbruck,at,,https://www.uibk.ac.at/en/informatik/,18,University of Innsbruck,054pv6659,Universität Innsbruck,Innsbruck,47.26266,11.39454,1.00,1.00,1,,,,auto
de-tu-ilmenau,csrankings,TU Ilmenau,de,,https://www.tu-ilmenau.de,18,TU Ilmenau,01weqhp73,Technische Universität Ilmenau,Ilmenau,50.68322,10.91858,1.00,1.00,1,,,,auto
de-university-of-bayreuth,csrankings,University of Bayreuth,de,,https://www.ai2.uni-bayreuth.de,18,University of Bayreuth,0234wmv40,University of Bayreuth,Bayreuth,49.94782,11.57893,1.00,1.00,0,,,,auto
it-university-of-sannio,csrankings,University of Sannio,it,,https://www.unisannio.it,18,University of Sannio,04vc81p87,University of Sannio,Benevento,41.1307,14.77816,1.00,1.00,1,,,,auto
cy-cyprus-university-of-technology,csrankings,Cyprus University of Technology,cy,,https://www.cut.ac.cy/faculties/fet/eecei/,17,Cyprus University of Technology,05qt8tf94,Cyprus University of Technology,Limassol,34.68406,33.03794,1.00,1.00,1,,,,auto
de-university-of-bamberg,csrankings,University of Bamberg,de,,https://www.uni-bamberg.de,17,University of Bamberg,01c1w6d29,University of Bamberg,Bamberg,49.89873,10.90067,1.00,1.00,0,,,,auto
es-imdea-networks-institute,csrankings,IMDEA Networks Institute,es,,https://networks.imdea.org,17,IMDEA Networks,04mm9fg30,IMDEA Networks,Leganés,40.32718,-3.7635,1.00,1.00,0,,,,auto
it-university-of-cagliari,csrankings,University of Cagliari,it,,https://web.unica.it/unica/en/dip_matinfo.page,17,University of Cagliari,003109y17,University of Cagliari,Cagliari,39.23054,9.11917,1.00,1.00,0,,,,auto
be-university-of-antwerp,csrankings,University of Antwerp,be,,https://www.uantwerpen.be,16,University of Antwerp,008x57b05,University of Antwerp,Antwerp,51.22047,4.40026,1.00,1.00,0,,,,auto
de-bielefeld-university,csrankings,Bielefeld University,de,,https://www.uni-bielefeld.de/fakultaeten/technische-fakultaet/,16,Bielefeld University,02hpadn98,Bielefeld University,Bielefeld,52.03333,8.53333,1.00,1.00,1,,,,auto
de-tu-chemnitz,csrankings,TU Chemnitz,de,,https://www.tu-chemnitz.de,16,TU Chemnitz,00a208s56,Chemnitz University of Technology,Chemnitz,50.8357,12.92922,1.00,1.00,0,,,,auto
de-university-of-konstanz,csrankings,University of Konstanz,de,,https://www.informatik.uni-konstanz.de/en/,16,University of Konstanz,0546hnb39,University of Konstanz,Konstanz,47.66033,9.17582,1.00,1.00,1,,,,auto
de-university-of-passau,csrankings,University of Passau,de,,https://www.fim.uni-passau.de,16,University of Passau,05ydjnb78,University of Passau,Passau,48.5665,13.43122,1.00,1.00,0,,,,auto
cy-university-of-nicosia,csrankings,University of Nicosia,cy,,https://www.unic.ac.cy,15,University of Nicosia,04v18t651,University of Nicosia,Nicosia,35.17531,33.3642,1.00,1.00,1,,,,auto
es-universidad-rey-juan-carlos,csrankings,Universidad Rey Juan Carlos,es,,https://www.tsc.urjc.es,15,Universidad Rey Juan Carlos,01v5cv687,Universidad Rey Juan Carlos,Madrid,40.4165,-3.70256,1.00,1.00,1,,,,auto
hu-university-of-szeged,csrankings,University of Szeged,hu,,https://www.inf.u-szeged.hu,15,University of Szeged,01pnej532,University of Szeged,Szeged,46.253,20.14824,1.00,1.00,0,,,,auto
